Date, Host, Packet loss, min, avg, max, mdev
24/04/2018 00:19:05 BST, 104.20.72.23,  0%, 165.653, 165.849, 166.251, 0.562
24/04/2018 00:21:04 BST, 202.78.202.70,  0%, 322.191, 322.491, 332.724, 0.993
24/04/2018 00:25:13 BST, 200.170.94.6,  0%, 242.824, 243.030, 243.975, 0.700
24/04/2018 00:27:13 BST, 45.221.77.2,  0%, 226.351, 226.563, 227.135, 0.500
24/04/2018 00:29:12 BST, 116.90.239.10,  0%, 243.316, 244.124, 252.948, 2.097
24/04/2018 00:31:12 BST, 41.72.99.143,  3%, 182.644, 183.354, 209.054, 2.413
24/04/2018 00:33:12 BST, 163.43.24.70,  0%, 149.658, 149.804, 150.330, 0.438
24/04/2018 00:35:12 BST, 133.130.35.170,  0%, 253.679, 254.048, 259.801, 0.725
24/04/2018 00:37:12 BST, 103.242.31.11,  0%, 169.020, 169.540, 181.223, 1.472
24/04/2018 00:39:11 BST, 103.75.188.168,  56%, 10.347, 10.448, 10.630, 0.135
24/04/2018 00:41:12 BST, 107.190.134.163,  0%, 285.316, 285.622, 286.228, 0.469
24/04/2018 00:43:11 BST, 103.241.150.190,  0%, 191.719, 191.985, 194.433, 0.579
24/04/2018 00:45:11 BST, 112.137.166.236,  0%, 12.104, 12.209, 12.449, 0.102
24/04/2018 00:47:10 BST, 178.33.235.187,  0%, 191.771, 192.059, 195.766, 0.696
24/04/2018 00:49:09 BST, 101.100.209.220,  3%, 291.545, 292.557, 296.305, 1.734
24/04/2018 00:51:09 BST, 116.12.51.45,  0%, 6.430, 6.910, 53.658, 4.286
24/04/2018 00:53:09 BST, 188.42.162.69,  0%, 174.162, 188.027, 397.531, 27.279
24/04/2018 00:55:08 BST, 116.12.51.45,  0%, 196.877, 197.293, 199.702, 0.519
24/04/2018 00:57:08 BST, 180.92.193.10,  0%, 245.853, 247.764, 267.610, 3.437
24/04/2018 06:19:06 BST, 104.20.72.23,  0%, 173.337, 173.912, 174.690, 0.433
24/04/2018 06:21:06 BST, 202.78.202.70,  0%, 318.891, 321.216, 387.570, 6.283
24/04/2018 06:25:14 BST, 200.170.94.6,  0%, 243.378, 244.320, 245.829, 0.433
24/04/2018 06:27:14 BST, 45.221.77.2,  0%, 226.868, 227.656, 228.607, 0.586
24/04/2018 06:29:13 BST, 116.90.239.10,  0%, 243.808, 244.670, 245.198, 0.760
24/04/2018 06:31:13 BST, 41.72.99.143,  44%, 183.708, 184.234, 185.245, 0.603
